time_str,temp,precip_prob,country,ip
2026-08-06T00:00,28.3,18.0,Korea (Republic of),8.8.8.8
2026-08-06T01:00,27.7,16.0,Korea (Republic of),8.8.8.8
2026-08-06T02:00,27.1,15.0,Korea (Republic of),8.8.8.8
2026-08-06T03:00,26.7,14.0,Korea (Republic of),8.8.8.8
2026-08-06T04:00,26.3,11.0,Korea (Republic of),8.8.8.8
2026-08-06T05:00,25.9,9.0,Korea (Republic of),8.8.8.8
2026-08-06T06:00,25.5,6.0,Korea (Republic of),8.8.8.8
2026-08-06T07:00,25.8,4.0,Korea (Republic of),8.8.8.8
2026-08-06T08:00,26.9,3.0,Korea (Republic of),8.8.8.8
2026-08-06T09:00,28.9,2.0,Korea (Republic of),8.8.8.8
2026-08-06T10:00,30.6,2.0,Korea (Republic of),8.8.8.8
2026-08-06T11:00,31.9,4.0,Korea (Republic of),8.8.8.8
2026-08-06T12:00,33.1,4.0,Korea (Republic of),8.8.8.8
2026-08-06T13:00,34.0,3.0,Korea (Republic of),8.8.8.8
2026-08-06T14:00,34.7,1.0,Korea (Republic of),8.8.8.8
2026-08-06T15:00,35.0,0.0,Korea (Republic of),8.8.8.8
2026-08-06T16:00,35.1,1.0,Korea (Republic of),8.8.8.8
2026-08-06T17:00,35.0,3.0,Korea (Republic of),8.8.8.8
2026-08-06T18:00,34.6,4.0,Korea (Republic of),8.8.8.8
2026-08-06T19:00,33.2,3.0,Korea (Republic of),8.8.8.8
2026-08-06T20:00,31.0,1.0,Korea (Republic of),8.8.8.8
2026-08-06T21:00,29.9,0.0,Korea (Republic of),8.8.8.8
2026-08-06T22:00,29.2,0.0,Korea (Republic of),8.8.8.8
2026-08-06T23:00,28.6,0.0,Korea (Republic of),8.8.8.8
2026-08-07T00:00,28.4,0.0,Korea (Republic of),8.8.8.8
2026-08-07T01:00,27.7,0.0,Korea (Republic of),8.8.8.8
2026-08-07T02:00,27.2,0.0,Korea (Republic of),8.8.8.8
2026-08-07T03:00,26.6,0.0,Korea (Republic of),8.8.8.8
2026-08-07T04:00,26.0,0.0,Korea (Republic of),8.8.8.8
2026-08-07T05:00,25.5,0.0,Korea (Republic of),8.8.8.8
2026-08-07T06:00,25.1,0.0,Korea (Republic of),8.8.8.8
2026-08-07T07:00,25.3,0.0,Korea (Republic of),8.8.8.8
2026-08-07T08:00,26.5,0.0,Korea (Republic of),8.8.8.8
2026-08-07T09:00,28.1,0.0,Korea (Republic of),8.8.8.8
2026-08-07T10:00,29.8,0.0,Korea (Republic of),8.8.8.8
2026-08-07T11:00,31.6,0.0,Korea (Republic of),8.8.8.8
2026-08-07T12:00,33.0,0.0,Korea (Republic of),8.8.8.8
2026-08-07T13:00,34.2,0.0,Korea (Republic of),8.8.8.8
2026-08-07T14:00,35.1,0.0,Korea (Republic of),8.8.8.8
2026-08-07T15:00,35.7,0.0,Korea (Republic of),8.8.8.8
2026-08-07T16:00,36.1,5.0,Korea (Republic of),8.8.8.8
2026-08-07T17:00,36.2,12.0,Korea (Republic of),8.8.8.8
2026-08-07T18:00,35.7,16.0,Korea (Republic of),8.8.8.8
2026-08-07T19:00,34.2,12.0,Korea (Republic of),8.8.8.8
2026-08-07T20:00,32.3,5.0,Korea (Republic of),8.8.8.8
2026-08-07T21:00,30.9,0.0,Korea (Republic of),8.8.8.8
2026-08-07T22:00,29.9,0.0,Korea (Republic of),8.8.8.8
2026-08-07T23:00,29.2,0.0,Korea (Republic of),8.8.8.8
2026-08-08T00:00,28.6,0.0,Korea (Republic of),8.8.8.8
2026-08-08T01:00,28.2,0.0,Korea (Republic of),8.8.8.8
2026-08-08T02:00,27.6,0.0,Korea (Republic of),8.8.8.8
2026-08-08T03:00,27.1,0.0,Korea (Republic of),8.8.8.8
2026-08-08T04:00,26.8,0.0,Korea (Republic of),8.8.8.8
2026-08-08T05:00,26.7,0.0,Korea (Republic of),8.8.8.8
2026-08-08T06:00,26.6,0.0,Korea (Republic of),8.8.8.8
2026-08-08T07:00,26.9,0.0,Korea (Republic of),8.8.8.8
2026-08-08T08:00,27.9,0.0,Korea (Republic of),8.8.8.8
2026-08-08T09:00,29.4,0.0,Korea (Republic of),8.8.8.8
2026-08-08T10:00,31.1,3.0,Korea (Republic of),8.8.8.8
2026-08-08T11:00,32.4,8.0,Korea (Republic of),8.8.8.8
2026-08-08T12:00,33.3,18.0,Korea (Republic of),8.8.8.8
2026-08-08T13:00,31.9,40.0,Korea (Republic of),8.8.8.8
2026-08-08T14:00,30.9,67.0,Korea (Republic of),8.8.8.8
2026-08-08T15:00,30.3,86.0,Korea (Republic of),8.8.8.8
2026-08-08T16:00,29.4,93.0,Korea (Republic of),8.8.8.8
2026-08-08T17:00,28.6,92.0,Korea (Republic of),8.8.8.8
2026-08-08T18:00,27.7,84.0,Korea (Republic of),8.8.8.8
2026-08-08T19:00,26.6,64.0,Korea (Republic of),8.8.8.8
2026-08-08T20:00,25.8,37.0,Korea (Republic of),8.8.8.8
2026-08-08T21:00,25.5,16.0,Korea (Republic of),8.8.8.8
2026-08-08T22:00,25.3,7.0,Korea (Republic of),8.8.8.8
2026-08-08T23:00,25.2,4.0,Korea (Republic of),8.8.8.8
